sample_idx,true_label,pred_T1,variance_T1,pred_T2,variance_T2,pred_T3,variance_T3,pred_T5,variance_T5,pred_T8,variance_T8,pred_T13,variance_T13,pred_T21,variance_T21
49,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
50,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
51,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
52,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
53,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
54,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
55,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
56,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
57,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
58,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
59,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
60,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
61,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
62,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
63,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
64,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
65,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
66,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
67,dense,dense,,dense,0.0,dense,0.0,dense,2e-06,dense,1e-06,dense,1e-06,dense,0.0
68,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
69,dense,dense,,dense,0.0,dense,2e-06,dense,5e-06,dense,0.0,dense,8.2e-05,dense,1.4e-05
70,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
71,dense,dense,,dense,8e-06,dense,7e-06,dense,0.0,dense,0.0,dense,1e-06,dense,6e-06
72,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
73,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
74,dense,dense,,dense,0.0,dense,1e-06,dense,0.0,dense,0.0,dense,1e-06,dense,0.0
75,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
76,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
77,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
78,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
79,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
80,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
81,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
82,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
83,dense,dense,,dense,0.000304,dense,0.007702,dense,0.034036,dense,0.046437,dense,0.089492,dense,0.029572
84,dense,dense,,dense,0.027168,dense,0.311561,dense,0.708503,dense,0.027437,dense,0.057381,dense,0.047633
85,dense_leafless,open,,open,3.2e-05,open,0.027773,open,0.080108,open,0.062336,open,0.041308,open,0.073493
86,dense_leafless,open,,open,0.329762,open,0.057715,open,0.348317,open,0.181726,open,0.231987,open,0.257669
87,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
88,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,3e-06,dense_leafless,4e-06,dense_leafless,9e-06,dense_leafless,7e-06,dense_leafless,4e-06
89,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,1e-06,dense_leafless,0.0
90,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
91,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
92,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
93,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
94,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
95,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
96,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
97,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
98,dense_leafless,sparse_leafless,,sparse_leafless,1.9e-05,sparse_leafless,0.111521,sparse_leafless,1.7e-05,sparse_leafless,0.074472,sparse_leafless,0.00163,sparse_leafless,0.002044
99,dense_leafless,dense_leafless,,dense_leafless,1.1e-05,dense_leafless,2e-06,dense_leafless,1.6e-05,dense_leafless,1.5e-05,dense_leafless,4.8e-05,dense_leafless,1.6e-05
100,dense_leafless,sparse_leafless,,sparse_leafless,0.53726,sparse_leafless,0.069432,dense_leafless,0.529175,dense_leafless,0.578425,sparse_leafless,0.389766,dense_leafless,0.369596
101,dense_leafless,dense_leafless,,dense_leafless,2e-06,dense_leafless,0.001307,dense_leafless,0.0,dense_leafless,6e-05,dense_leafless,1.6e-05,dense_leafless,2.3e-05
102,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
103,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,2e-06,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
104,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
105,dense_leafless,dense_leafless,,dense_leafless,0.001384,dense_leafless,0.003395,dense_leafless,0.002185,dense_leafless,0.000123,dense_leafless,0.027909,dense_leafless,0.001581
106,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
107,dense_leafless,dense_leafless,,dense_leafless,1e-06,dense_leafless,7e-06,dense_leafless,1.1e-05,dense_leafless,4.5e-05,dense_leafless,0.000215,dense_leafless,0.000272
108,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
109,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
110,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
111,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
112,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,1e-06,dense_leafless,0.0,dense_leafless,2e-06,dense_leafless,0.0,dense_leafless,0.0
113,dense_leafless,dense_leafless,,dense_leafless,0.005117,dense_leafless,0.196101,dense_leafless,0.046264,dense_leafless,0.005617,dense_leafless,0.02896,dense_leafless,0.056785
114,dense_leafless,dense_leafless,,dense_leafless,0.024334,dense_leafless,0.051351,dense_leafless,0.053954,dense_leafless,0.323507,dense_leafless,0.024265,dense_leafless,0.167533
115,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,1.4e-05,dense_leafless,1e-06,dense_leafless,2.9e-05,dense_leafless,0.000132,dense_leafless,4.6e-05
116,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,4e-06,dense_leafless,4e-06,dense_leafless,8e-06,dense_leafless,1.6e-05,dense_leafless,2.8e-05
117,dense_leafless,dense_leafless,,dense_leafless,3e-06,dense_leafless,3.5e-05,dense_leafless,0.000123,dense_leafless,0.000117,dense_leafless,6.8e-05,dense_leafless,9.4e-05
118,dense_leafless,dense_leafless,,dense_leafless,9e-06,dense_leafless,0.000836,dense_leafless,1.3e-05,dense_leafless,0.00083,dense_leafless,0.000335,dense_leafless,5.5e-05
119,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
120,dense_leafless,sparse_snow,,sparse_snow,0.043607,dense,0.876829,dense,0.165465,sparse_snow,0.344378,sparse_snow,0.368592,sparse_snow,0.312363
121,dense_leafless,dense,,dense,0.04397,dense,0.033145,dense,0.063327,dense,0.125647,dense,0.06412,dense,0.056583
122,dense_leafless,sparse_leafless,,dense,0.275168,sparse_leafless,0.918169,sparse_leafless,0.226444,sparse_leafless,0.162735,sparse_leafless,0.176371,sparse_leafless,0.22865
123,dense_leafless,open_leafless,,open_leafless,0.143656,open_leafless,0.100864,open_leafless,0.118989,open_leafless,0.065477,open_leafless,0.191513,open_leafless,0.255015
124,dense_leafless,dense_leafless,,dense_leafless,0.000128,dense_leafless,0.001191,dense_leafless,0.000235,dense_leafless,0.007457,dense_leafless,0.005462,dense_leafless,0.012411
125,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,1e-06,dense_leafless,0.0
126,dense_leafless,dense_leafless,,dense_leafless,1e-06,dense_leafless,0.000294,dense_leafless,3.7e-05,dense_leafless,9.9e-05,dense_leafless,2e-05,dense_leafless,3.9e-05
127,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,1e-05,dense_leafless,1e-06,dense_leafless,0.0,dense_leafless,0.001145,dense_leafless,0.0059
128,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
129,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
130,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
131,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,1.1e-05,dense_leafless,2e-06,dense_leafless,0.000265,dense_leafless,8e-06,dense_leafless,8.8e-05
132,dense_leafless,dense_leafless,,dense_leafless,1.7e-05,dense_leafless,2.2e-05,dense_leafless,8.8e-05,dense_leafless,0.000281,dense_leafless,0.002112,dense_leafless,0.000171
133,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,1e-06
134,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
135,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
136,dense_leafless,dense_leafless,,dense_leafless,2e-06,dense_leafless,1e-06,dense_leafless,1e-06,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,1e-06
137,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,1e-06,dense_leafless,3e-06,dense_leafless,3e-06,dense_leafless,1.1e-05
138,dense_leafless,dense_leafless,,dense_leafless,0.1605,dense_leafless,0.10846,dense_leafless,0.049827,dense_leafless,0.078945,dense_leafless,0.102921,dense_leafless,0.049376
139,dense_leafless,dense_leafless,,dense_leafless,0.005446,dense_leafless,0.004628,dense_leafless,0.045043,dense_leafless,0.003696,dense_leafless,0.020609,dense_leafless,0.010982
140,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,1e-06,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
141,dense_leafless,dense_leafless,,dense_leafless,0.000125,dense_leafless,0.192784,dense_leafless,0.200737,dense_leafless,0.130104,dense_leafless,0.171077,dense_leafless,0.264559
142,dense_leafless,dense_leafless,,dense_leafless,0.020513,dense_leafless,7.3e-05,dense_leafless,0.006703,dense_leafless,0.036326,dense_leafless,0.004093,dense_leafless,0.016792
143,dense_leafless,dense_leafless,,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0,dense_leafless,0.0
144,dense_snow,dense_snow,,sparse_snow,0.066947,dense_snow,0.760358,dense_snow,0.059074,dense_snow,0.095426,dense_snow,0.09159,dense_snow,0.157118
145,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,6e-06,dense_snow,0.0,dense_snow,0.0,dense_snow,1e-06,dense_snow,1e-06
146,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,1e-06,dense_snow,0.0,dense_snow,1e-06,dense_snow,1e-06
147,dense_snow,dense_snow,,dense_snow,3.9e-05,dense_snow,0.00063,dense_snow,0.000947,dense_snow,9.2e-05,dense_snow,0.000153,dense_snow,0.005507
148,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0
149,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0
150,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0
151,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0
152,dense_snow,dense_snow,,dense_snow,0.0,dense_snow,0.0,dense_snow,0.0,dense_snow,1.7e-05,dense_snow,0.0,dense_snow,0.0
153,open,open,,open,0.003751,open,0.058759,open,0.027824,open,0.060528,open,0.026081,open,0.026366
154,open,open,,open,0.0,open,2e-06,open,0.0,open,4e-06,open,1.4e-05,open,2.5e-05
155,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
156,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
157,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
158,open,sparse,,sparse,0.000309,sparse,0.000241,sparse,0.001035,sparse,0.002057,sparse,0.000387,sparse,0.000224
159,open,open,,open,4e-06,open,0.0,open,2.7e-05,open,2e-06,open,8.8e-05,open,5.3e-05
160,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
161,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
162,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
163,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
164,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
165,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
166,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
167,open,open,,open,8e-06,open,4e-06,open,1.2e-05,open,1e-06,open,5.9e-05,open,0.000223
168,open,open,,open,6e-06,open,5.3e-05,open,0.000157,open,0.000876,open,0.000619,open,0.012577
169,open,open,,open,2.8e-05,open,1e-06,open,0.000278,open,0.000606,open,0.001058,open,0.001508
170,open,open,,open,0.0,open,0.004868,open,0.000199,open,0.000852,open,0.005846,open,0.001727
171,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
172,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
173,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
174,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
175,open,open,,open,5e-06,open,1e-06,open,1e-06,open,2e-06,open,7e-06,open,1.5e-05
176,open,open,,open,4e-06,open,4e-06,open,0.000112,open,0.001786,open,3.9e-05,open,0.000258
177,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
178,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
179,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
180,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
181,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
182,open,open,,open,0.025476,open,0.069072,open,0.011573,open,0.056214,open,0.018781,open,0.015473
183,open,sparse,,sparse,0.074844,sparse,0.277474,sparse,0.273164,sparse,0.281965,sparse,0.393408,sparse,0.474853
184,open,sparse,,sparse,2e-06,sparse,2.5e-05,sparse,2e-06,sparse,9e-06,sparse,1e-05,sparse,9e-06
185,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
186,open,open,,open,0.002894,open,0.00081,open,0.00203,open,0.000112,open,5.7e-05,open,0.000463
187,open,open,,open,0.0,open,1e-06,open,2e-06,open,1e-05,open,2e-05,open,9.8e-05
188,open,open,,open,1e-06,open,1.2e-05,open,1.4e-05,open,0.000167,open,2e-06,open,5.4e-05
189,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
190,open,open,,open,0.0,open,1e-06,open,2e-06,open,1e-06,open,5.7e-05,open,1.4e-05
191,open,open,,open,0.000146,open,0.000549,open,0.008893,open,0.000129,open,0.000612,open,0.026903
192,open,open,,open,1e-06,open,0.0,open,0.000945,open,0.00051,open,0.006086,open,0.038469
193,open,open,,open,0.0,open,0.0,open,0.0,open,2.3e-05,open,1e-06,open,1e-06
194,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
195,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
196,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
197,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
198,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
199,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
200,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
201,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
202,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
203,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
204,open,open,,open,0.0,open,0.0,open,3e-06,open,0.0,open,0.0,open,2.5e-05
205,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,3e-06
206,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
207,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
208,open,open,,open,2.5e-05,open,2.1e-05,open,0.000524,open,0.000472,open,0.003965,open,0.046905
209,open,open,,open,4.9e-05,open,0.0,open,3e-06,open,0.007122,open,0.001812,open,0.000701
210,open,open,,open,3e-06,open,4.5e-05,open,1.3e-05,open,1e-06,open,1.6e-05,open,2e-06
211,open,open,,open,0.000847,open,1.6e-05,open,0.001062,open,0.000149,open,5.2e-05,open,0.000124
212,open,open,,sparse,0.408006,open,0.069639,open,0.248471,open,0.354455,open,0.142191,open,0.218709
213,open,open,,open,0.001374,open,0.068587,open,0.01631,open,0.00604,open,0.008753,open,0.098814
214,open,open,,open,2.2e-05,open,0.0,open,4.3e-05,open,2e-06,open,5e-06,open,7.1e-05
215,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,2e-06,open,2e-06
216,open,open,,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0,open,0.0
217,open,open,,open,0.0,open,1.8e-05,open,1e-06,open,0.0,open,0.0,open,1e-06
218,open,open,,open,0.0,open,0.0,open,0.0,open,2e-06,open,6.9e-05,open,0.000118
219,open,open,,open,0.0,open,3e-06,open,0.000165,open,0.000643,open,8.2e-05,open,0.000187
220,open,open,,open,1e-06,open,9e-06,open,0.115429,open,0.000104,open,0.000316,open,5.7e-05
221,open,sparse,,sparse,2.7e-05,sparse,1e-06,sparse,1e-06,sparse,3.8e-05,sparse,6e-06,sparse,2.7e-05
222,open,open,,open,0.044251,open,0.048592,open,0.380039,open,0.056844,open,0.014263,open,0.016613
